Model,Rater,Theta,info_data_rater
HR,HR-1,-30,9.32426e-010
HR,HR-1,-29.697,1.26246e-009
HR,HR-1,-29.3939,1.70932e-009
HR,HR-1,-29.0909,2.31434e-009
HR,HR-1,-28.7879,3.13352e-009
HR,HR-1,-28.4848,4.24264e-009
HR,HR-1,-28.1818,5.74435e-009
HR,HR-1,-27.8788,7.77759e-009
HR,HR-1,-27.5758,1.05305e-008
HR,HR-1,-27.2727,1.42578e-008
HR,HR-1,-26.9697,1.93045e-008
HR,HR-1,-26.6667,2.61374e-008
HR,HR-1,-26.3636,3.53889e-008
HR,HR-1,-26.0606,4.7915e-008
HR,HR-1,-25.7576,6.48748e-008
HR,HR-1,-25.4545,8.78375e-008
HR,HR-1,-25.1515,1.18928e-007
HR,HR-1,-24.8485,1.61024e-007
HR,HR-1,-24.5455,2.18019e-007
HR,HR-1,-24.2424,2.95187e-007
HR,HR-1,-23.9394,3.9967e-007
HR,HR-1,-23.6364,5.41136e-007
HR,HR-1,-23.3333,7.32673e-007
HR,HR-1,-23.0303,9.92008e-007
HR,HR-1,-22.7273,1.34313e-006
HR,HR-1,-22.4242,1.81854e-006
HR,HR-1,-22.1212,2.46222e-006
HR,HR-1,-21.8182,3.33373e-006
HR,HR-1,-21.5152,4.51371e-006
HR,HR-1,-21.2121,6.11135e-006
HR,HR-1,-20.9091,8.27446e-006
HR,HR-1,-20.6061,1.12032e-005
HR,HR-1,-20.303,1.51685e-005
HR,HR-1,-20,2.05372e-005
HR,HR-1,-19.697,2.78061e-005
HR,HR-1,-19.3939,3.76474e-005
HR,HR-1,-19.0909,5.09717e-005
HR,HR-1,-18.7879,6.90109e-005
HR,HR-1,-18.4848,9.34332e-005
HR,HR-1,-18.1818,0.000126496
HR,HR-1,-17.8788,0.000171255
HR,HR-1,-17.5758,0.000231844
HR,HR-1,-17.2727,0.000313855
HR,HR-1,-16.9697,0.000424853
HR,HR-1,-16.6667,0.00057506
HR,HR-1,-16.3636,0.000778292
HR,HR-1,-16.0606,0.0010532
HR,HR-1,-15.7576,0.00142493
HR,HR-1,-15.4545,0.00192737
HR,HR-1,-15.1515,0.00260605
HR,HR-1,-14.8485,0.00352203
HR,HR-1,-14.5455,0.00475689
HR,HR-1,-14.2424,0.00641911
HR,HR-1,-13.9394,0.00865202
HR,HR-1,-13.6364,0.0116432
HR,HR-1,-13.3333,0.0156352
HR,HR-1,-13.0303,0.0209359
HR,HR-1,-12.7273,0.0279267
HR,HR-1,-12.4242,0.0370622
HR,HR-1,-12.1212,0.0488547
HR,HR-1,-11.8182,0.0638285
HR,HR-1,-11.5152,0.0824281
HR,HR-1,-11.2121,0.104865
HR,HR-1,-10.9091,0.130898
HR,HR-1,-10.6061,0.159575
HR,HR-1,-10.303,0.189031
HR,HR-1,-10,0.216482
HR,HR-1,-9.69697,0.238588
HR,HR-1,-9.39394,0.252203
HR,HR-1,-9.09091,0.255326
HR,HR-1,-8.78788,0.247822
HR,HR-1,-8.48485,0.231527
HR,HR-1,-8.18182,0.209684
HR,HR-1,-7.87879,0.186031
HR,HR-1,-7.57576,0.163975
HR,HR-1,-7.27273,0.146124
HR,HR-1,-6.9697,0.134205
HR,HR-1,-6.66667,0.129191
HR,HR-1,-6.36364,0.131482
HR,HR-1,-6.06061,0.141002
HR,HR-1,-5.75758,0.15717
HR,HR-1,-5.45454,0.178758
HR,HR-1,-5.15151,0.203725
HR,HR-1,-4.84848,0.22918
HR,HR-1,-4.54545,0.251657
HR,HR-1,-4.24242,0.267789
HR,HR-1,-3.93939,0.27524
HR,HR-1,-3.63636,0.273505
HR,HR-1,-3.33333,0.264162
HR,HR-1,-3.0303,0.250408
HR,HR-1,-2.72727,0.236131
HR,HR-1,-2.42424,0.224925
HR,HR-1,-2.12121,0.219382
HR,HR-1,-1.81818,0.220719
HR,HR-1,-1.51515,0.228648
HR,HR-1,-1.21212,0.241403
HR,HR-1,-0.90909,0.255948
HR,HR-1,-0.60606,0.268476
HR,HR-1,-0.303029,0.275243
HR,HR-1,8.9407e-007,0.273576
HR,HR-1,0.303031,0.262674
HR,HR-1,0.606062,0.243813
HR,HR-1,0.909092,0.219839
HR,HR-1,1.21212,0.194267
HR,HR-1,1.51515,0.170417
HR,HR-1,1.81818,0.150892
HR,HR-1,2.12121,0.137446
HR,HR-1,2.42424,0.131099
HR,HR-1,2.72727,0.132322
HR,HR-1,3.0303,0.141158
HR,HR-1,3.33333,0.157217
HR,HR-1,3.63636,0.179555
HR,HR-1,3.93939,0.206493
HR,HR-1,4.24243,0.23553
HR,HR-1,4.54546,0.263513
HR,HR-1,4.84849,0.287201
HR,HR-1,5.15152,0.304121
HR,HR-1,5.45455,0.313401
HR,HR-1,5.75758,0.316094
HR,HR-1,6.06061,0.314752
HR,HR-1,6.36364,0.312384
HR,HR-1,6.66667,0.311267
HR,HR-1,6.9697,0.312068
HR,HR-1,7.27273,0.313587
HR,HR-1,7.57576,0.313182
HR,HR-1,7.87879,0.307752
HR,HR-1,8.18182,0.294937
HR,HR-1,8.48485,0.274022
HR,HR-1,8.78788,0.246167
HR,HR-1,9.09091,0.213897
HR,HR-1,9.39394,0.180214
HR,HR-1,9.69697,0.147776
HR,HR-1,10,0.118436
HR,HR-1,10.303,0.0931636
HR,HR-1,10.6061,0.0721984
HR,HR-1,10.9091,0.0553014
HR,HR-1,11.2121,0.0419788
HR,HR-1,11.5152,0.0316473
HR,HR-1,11.8182,0.0237346
HR,HR-1,12.1212,0.0177308
HR,HR-1,12.4242,0.0132069
HR,HR-1,12.7273,0.00981575
HR,HR-1,13.0303,0.0072835
HR,HR-1,13.3333,0.00539798
HR,HR-1,13.6364,0.00399699
HR,HR-1,13.9394,0.00295766
HR,HR-1,14.2424,0.0021875
HR,HR-1,14.5455,0.0016173
HR,HR-1,14.8485,0.00119541
HR,HR-1,15.1515,0.000883399
HR,HR-1,15.4545,0.000652729
HR,HR-1,15.7576,0.000482238
HR,HR-1,16.0606,0.000356251
HR,HR-1,16.3636,0.000263163
HR,HR-1,16.6667,0.00019439
HR,HR-1,16.9697,0.000143585
HR,HR-1,17.2727,0.000106056
HR,HR-1,17.5758,7.8334e-005
HR,HR-1,17.8788,5.78578e-005
HR,HR-1,18.1818,4.27336e-005
HR,HR-1,18.4848,3.15627e-005
HR,HR-1,18.7879,2.33118e-005
HR,HR-1,19.0909,1.72178e-005
HR,HR-1,19.3939,1.27167e-005
HR,HR-1,19.697,9.39234e-006
HR,HR-1,20,6.93699e-006
HR,HR-1,20.303,5.12352e-006
HR,HR-1,20.6061,3.78412e-006
HR,HR-1,20.9091,2.79487e-006
HR,HR-1,21.2121,2.06423e-006
HR,HR-1,21.5152,1.52459e-006
HR,HR-1,21.8182,1.12603e-006
HR,HR-1,22.1212,8.31659e-007
HR,HR-1,22.4242,6.14244e-007
HR,HR-1,22.7273,4.53667e-007
HR,HR-1,23.0303,3.35068e-007
HR,HR-1,23.3333,2.47473e-007
HR,HR-1,23.6364,1.82778e-007
HR,HR-1,23.9394,1.34996e-007
HR,HR-1,24.2424,9.97046e-008
HR,HR-1,24.5455,7.36395e-008
HR,HR-1,24.8485,5.43885e-008
HR,HR-1,25.1515,4.01701e-008
HR,HR-1,25.4545,2.96686e-008
HR,HR-1,25.7576,2.19126e-008
HR,HR-1,26.0606,1.61841e-008
HR,HR-1,26.3636,1.19532e-008
HR,HR-1,26.6667,8.82837e-009
HR,HR-1,26.9697,6.52042e-009
HR,HR-1,27.2727,4.81583e-009
HR,HR-1,27.5758,3.55686e-009
HR,HR-1,27.8788,2.62702e-009
HR,HR-1,28.1818,1.94025e-009
HR,HR-1,28.4848,1.43303e-009
HR,HR-1,28.7879,1.0584e-009
HR,HR-1,29.0909,7.81709e-010
HR,HR-1,29.3939,5.77351e-010
HR,HR-1,29.697,4.26409e-010
HR,HR-1,30,3.14945e-010
HR,HR-2,-30,4.54334e-010
HR,HR-2,-29.697,6.15148e-010
HR,HR-2,-29.3939,8.32883e-010
HR,HR-2,-29.0909,1.12769e-009
HR,HR-2,-28.7879,1.52684e-009
HR,HR-2,-28.4848,2.06727e-009
HR,HR-2,-28.1818,2.79899e-009
HR,HR-2,-27.8788,3.78971e-009
HR,HR-2,-27.5758,5.1311e-009
HR,HR-2,-27.2727,6.94728e-009
HR,HR-2,-26.9697,9.40632e-009
HR,HR-2,-26.6667,1.27357e-008
HR,HR-2,-26.3636,1.72436e-008
HR,HR-2,-26.0606,2.33471e-008
HR,HR-2,-25.7576,3.16109e-008
HR,HR-2,-25.4545,4.27997e-008
HR,HR-2,-25.1515,5.79489e-008
HR,HR-2,-24.8485,7.84604e-008
HR,HR-2,-24.5455,1.06232e-007
HR,HR-2,-24.2424,1.43833e-007
HR,HR-2,-23.9394,1.94744e-007
HR,HR-2,-23.6364,2.63674e-007
HR,HR-2,-23.3333,3.57003e-007
HR,HR-2,-23.0303,4.83366e-007
HR,HR-2,-22.7273,6.54456e-007
HR,HR-2,-22.4242,8.86104e-007
HR,HR-2,-22.1212,1.19974e-006
HR,HR-2,-21.8182,1.6244e-006
HR,HR-2,-21.5152,2.19936e-006
HR,HR-2,-21.2121,2.97784e-006
HR,HR-2,-20.9091,4.03185e-006
HR,HR-2,-20.6061,5.45893e-006
HR,HR-2,-20.303,7.39111e-006
HR,HR-2,-20,1.00072e-005
HR,HR-2,-19.697,1.35492e-005
HR,HR-2,-19.3939,1.83448e-005
HR,HR-2,-19.0909,2.48378e-005
HR,HR-2,-18.7879,3.36287e-005
HR,HR-2,-18.4848,4.55307e-005
HR,HR-2,-18.1818,6.16446e-005
HR,HR-2,-17.8788,8.34605e-005
HR,HR-2,-17.5758,0.000112995
HR,HR-2,-17.2727,0.000152979
HR,HR-2,-16.9697,0.000207105
HR,HR-2,-16.6667,0.000280371
HR,HR-2,-16.3636,0.000379537
HR,HR-2,-16.0606,0.000513742
HR,HR-2,-15.7576,0.000695339
HR,HR-2,-15.4545,0.000941009
HR,HR-2,-15.1515,0.00127326
HR,HR-2,-14.8485,0.00172244
HR,HR-2,-14.5455,0.00232934
HR,HR-2,-14.2424,0.00314879
HR,HR-2,-13.9394,0.00425411
HR,HR-2,-13.6364,0.00574304
HR,HR-2,-13.3333,0.00774514
HR,HR-2,-13.0303,0.0104307
HR,HR-2,-12.7273,0.0140213
HR,HR-2,-12.4242,0.0188007
HR,HR-2,-12.1212,0.0251246
HR,HR-2,-11.8182,0.0334255
HR,HR-2,-11.5152,0.0442045
HR,HR-2,-11.2121,0.0580013
HR,HR-2,-10.9091,0.0753245
HR,HR-2,-10.6061,0.096526
HR,HR-2,-10.303,0.121609
HR,HR-2,-10,0.149981
HR,HR-2,-9.69697,0.180219
HR,HR-2,-9.39394,0.209964
HR,HR-2,-9.09091,0.236124
HR,HR-2,-8.78788,0.255482
HR,HR-2,-8.48485,0.265611
HR,HR-2,-8.18182,0.265749
HR,HR-2,-7.87879,0.257185
HR,HR-2,-7.57576,0.242941
HR,HR-2,-7.27273,0.226921
HR,HR-2,-6.9697,0.212949
HR,HR-2,-6.66667,0.204047
HR,HR-2,-6.36364,0.202068
HR,HR-2,-6.06061,0.207561
HR,HR-2,-5.75758,0.219764
HR,HR-2,-5.45454,0.236644
HR,HR-2,-5.15151,0.25509
HR,HR-2,-4.84848,0.271383
HR,HR-2,-4.54545,0.282021
HR,HR-2,-4.24242,0.284698
HR,HR-2,-3.93939,0.279064
HR,HR-2,-3.63636,0.266856
HR,HR-2,-3.33333,0.251323
HR,HR-2,-3.0303,0.236259
HR,HR-2,-2.72727,0.225041
HR,HR-2,-2.42424,0.219984
HR,HR-2,-2.12121,0.22201
HR,HR-2,-1.81818,0.230545
HR,HR-2,-1.51515,0.243571
HR,HR-2,-1.21212,0.257863
HR,HR-2,-0.90909,0.269538
HR,HR-2,-0.60606,0.274923
HR,HR-2,-0.303029,0.271567
HR,HR-2,8.9407e-007,0.258961
HR,HR-2,0.303031,0.238634
HR,HR-2,0.606062,0.213559
HR,HR-2,0.909092,0.187226
HR,HR-2,1.21212,0.162817
HR,HR-2,1.51515,0.142754
HR,HR-2,1.81818,0.128614
HR,HR-2,2.12121,0.121289
HR,HR-2,2.42424,0.121184
HR,HR-2,2.72727,0.128355
HR,HR-2,3.0303,0.142522
HR,HR-2,3.33333,0.162953
HR,HR-2,3.63636,0.188265
HR,HR-2,3.93939,0.216265
HR,HR-2,4.24243,0.243987
HR,HR-2,4.54546,0.268088
HR,HR-2,4.84849,0.285629
HR,HR-2,5.15152,0.294999
HR,HR-2,5.45455,0.296534
HR,HR-2,5.75758,0.292469
HR,HR-2,6.06061,0.286177
HR,HR-2,6.36364,0.281038
HR,HR-2,6.66667,0.279384
HR,HR-2,6.9697,0.281823
HR,HR-2,7.27273,0.28707
HR,HR-2,7.57576,0.292284
HR,HR-2,7.87879,0.293892
HR,HR-2,8.18182,0.288705
HR,HR-2,8.48485,0.274973
HR,HR-2,8.78788,0.252915
HR,HR-2,9.09091,0.224511
HR,HR-2,9.39394,0.192717
HR,HR-2,9.69697,0.160532
HR,HR-2,10,0.130327
HR,HR-2,10.303,0.103579
HR,HR-2,10.6061,0.0809224
HR,HR-2,10.9091,0.0623732
HR,HR-2,11.2121,0.0475745
HR,HR-2,11.5152,0.0359964
HR,HR-2,11.8182,0.0270704
HR,HR-2,12.1212,0.0202643
HR,HR-2,12.4242,0.0151172
HR,HR-2,12.7273,0.0112483
HR,HR-2,13.0303,0.0083536
HR,HR-2,13.3333,0.00619495
HR,HR-2,13.6364,0.00458926
HR,HR-2,13.9394,0.00339709
HR,HR-2,14.2424,0.00251315
HR,HR-2,14.5455,0.00185842
HR,HR-2,14.8485,0.00137382
HR,HR-2,15.1515,0.00101535
HR,HR-2,15.4545,0.000750281
HR,HR-2,15.7576,0.000554341
HR,HR-2,16.0606,0.000409533
HR,HR-2,16.3636,0.000302532
HR,HR-2,16.6667,0.000223476
HR,HR-2,16.9697,0.000165072
HR,HR-2,17.2727,0.000121928
HR,HR-2,17.5758,9.00583e-005
HR,HR-2,17.8788,6.65179e-005
HR,HR-2,18.1818,4.91302e-005
HR,HR-2,18.4848,3.62873e-005
HR,HR-2,18.7879,2.68014e-005
HR,HR-2,19.0909,1.97952e-005
HR,HR-2,19.3939,1.46204e-005
HR,HR-2,19.697,1.07983e-005
HR,HR-2,20,7.97545e-006
HR,HR-2,20.303,5.8905e-006
HR,HR-2,20.6061,4.3506e-006
HR,HR-2,20.9091,3.21326e-006
HR,HR-2,21.2121,2.37324e-006
HR,HR-2,21.5152,1.75282e-006
HR,HR-2,21.8182,1.2946e-006
HR,HR-2,22.1212,9.56159e-007
HR,HR-2,22.4242,7.06197e-007
HR,HR-2,22.7273,5.21581e-007
HR,HR-2,23.0303,3.85228e-007
HR,HR-2,23.3333,2.8452e-007
HR,HR-2,23.6364,2.1014e-007
HR,HR-2,23.9394,1.55204e-007
HR,HR-2,24.2424,1.1463e-007
HR,HR-2,24.5455,8.46634e-008
HR,HR-2,24.8485,6.25304e-008
HR,HR-2,25.1515,4.61835e-008
HR,HR-2,25.4545,3.411e-008
HR,HR-2,25.7576,2.51929e-008
HR,HR-2,26.0606,1.86069e-008
HR,HR-2,26.3636,1.37426e-008
HR,HR-2,26.6667,1.015e-008
HR,HR-2,26.9697,7.49653e-009
HR,HR-2,27.2727,5.53676e-009
HR,HR-2,27.5758,4.08932e-009
HR,HR-2,27.8788,3.02028e-009
HR,HR-2,28.1818,2.23071e-009
HR,HR-2,28.4848,1.64756e-009
HR,HR-2,28.7879,1.21684e-009
HR,HR-2,29.0909,8.98735e-010
HR,HR-2,29.3939,6.63785e-010
HR,HR-2,29.697,4.9025e-010
HR,HR-2,30,3.62091e-010
4o-Mini,4o-Mini,-30,3.64096e-010
4o-Mini,4o-Mini,-29.697,4.92969e-010
4o-Mini,4o-Mini,-29.3939,6.67458e-010
4o-Mini,4o-Mini,-29.0909,9.03708e-010
4o-Mini,4o-Mini,-28.7879,1.22358e-009
4o-Mini,4o-Mini,-28.4848,1.65668e-009
4o-Mini,4o-Mini,-28.1818,2.24307e-009
4o-Mini,4o-Mini,-27.8788,3.03701e-009
4o-Mini,4o-Mini,-27.5758,4.11197e-009
4o-Mini,4o-Mini,-27.2727,5.56743e-009
4o-Mini,4o-Mini,-26.9697,7.53806e-009
4o-Mini,4o-Mini,-26.6667,1.02062e-008
4o-Mini,4o-Mini,-26.3636,1.38187e-008
4o-Mini,4o-Mini,-26.0606,1.87099e-008
4o-Mini,4o-Mini,-25.7576,2.53324e-008
4o-Mini,4o-Mini,-25.4545,3.4299e-008
4o-Mini,4o-Mini,-25.1515,4.64393e-008
4o-Mini,4o-Mini,-24.8485,6.28768e-008
4o-Mini,4o-Mini,-24.5455,8.51324e-008
4o-Mini,4o-Mini,-24.2424,1.15265e-007
4o-Mini,4o-Mini,-23.9394,1.56064e-007
4o-Mini,4o-Mini,-23.6364,2.11304e-007
4o-Mini,4o-Mini,-23.3333,2.86096e-007
4o-Mini,4o-Mini,-23.0303,3.87362e-007
4o-Mini,4o-Mini,-22.7273,5.2447e-007
4o-Mini,4o-Mini,-22.4242,7.10109e-007
4o-Mini,4o-Mini,-22.1212,9.61455e-007
4o-Mini,4o-Mini,-21.8182,1.30177e-006
4o-Mini,4o-Mini,-21.5152,1.76253e-006
4o-Mini,4o-Mini,-21.2121,2.38639e-006
4o-Mini,4o-Mini,-20.9091,3.23106e-006
4o-Mini,4o-Mini,-20.6061,4.3747e-006
4o-Mini,4o-Mini,-20.303,5.92313e-006
4o-Mini,4o-Mini,-20,8.01961e-006
4o-Mini,4o-Mini,-19.697,1.08581e-005
4o-Mini,4o-Mini,-19.3939,1.47013e-005
4o-Mini,4o-Mini,-19.0909,1.99047e-005
4o-Mini,4o-Mini,-18.7879,2.69498e-005
4o-Mini,4o-Mini,-18.4848,3.64881e-005
4o-Mini,4o-Mini,-18.1818,4.94019e-005
4o-Mini,4o-Mini,-17.8788,6.68856e-005
4o-Mini,4o-Mini,-17.5758,9.05559e-005
4o-Mini,4o-Mini,-17.2727,0.000122601
4o-Mini,4o-Mini,-16.9697,0.000165982
4o-Mini,4o-Mini,-16.6667,0.000224705
4o-Mini,4o-Mini,-16.3636,0.000304193
4o-Mini,4o-Mini,-16.0606,0.000411775
4o-Mini,4o-Mini,-15.7576,0.000557362
4o-Mini,4o-Mini,-15.4545,0.000754346
4o-Mini,4o-Mini,-15.1515,0.00102081
4o-Mini,4o-Mini,-14.8485,0.00138113
4o-Mini,4o-Mini,-14.5455,0.00186815
4o-Mini,4o-Mini,-14.2424,0.00252605
4o-Mini,4o-Mini,-13.9394,0.00341404
4o-Mini,4o-Mini,-13.6364,0.00461127
4o-Mini,4o-Mini,-13.3333,0.00622303
4o-Mini,4o-Mini,-13.0303,0.0083885
4o-Mini,4o-Mini,-12.7273,0.01129
4o-Mini,4o-Mini,-12.4242,0.0151633
4o-Mini,4o-Mini,-12.1212,0.0203085
4o-Mini,4o-Mini,-11.8182,0.0270976
4o-Mini,4o-Mini,-11.5152,0.0359758
4o-Mini,4o-Mini,-11.2121,0.0474464
4o-Mini,4o-Mini,-10.9091,0.0620288
4o-Mini,4o-Mini,-10.6061,0.0801702
4o-Mini,4o-Mini,-10.303,0.102098
4o-Mini,4o-Mini,-10,0.127601
4o-Mini,4o-Mini,-9.69697,0.155777
4o-Mini,4o-Mini,-9.39394,0.18481
4o-Mini,4o-Mini,-9.09091,0.211949
4o-Mini,4o-Mini,-8.78788,0.233819
4o-Mini,4o-Mini,-8.48485,0.247149
4o-Mini,4o-Mini,-8.18182,0.249706
4o-Mini,4o-Mini,-7.87879,0.241051
4o-Mini,4o-Mini,-7.57576,0.222695
4o-Mini,4o-Mini,-7.27273,0.197574
4o-Mini,4o-Mini,-6.9697,0.169137
4o-Mini,4o-Mini,-6.66667,0.14049
4o-Mini,4o-Mini,-6.36364,0.113892
4o-Mini,4o-Mini,-6.06061,0.0906542
4o-Mini,4o-Mini,-5.75758,0.0712926
4o-Mini,4o-Mini,-5.45454,0.0557841
4o-Mini,4o-Mini,-5.15151,0.043811
4o-Mini,4o-Mini,-4.84848,0.0349442
4o-Mini,4o-Mini,-4.54545,0.0287626
4o-Mini,4o-Mini,-4.24242,0.0249201
4o-Mini,4o-Mini,-3.93939,0.0231801
4o-Mini,4o-Mini,-3.63636,0.0234297
4o-Mini,4o-Mini,-3.33333,0.0256855
4o-Mini,4o-Mini,-3.0303,0.0300925
4o-Mini,4o-Mini,-2.72727,0.0369173
4o-Mini,4o-Mini,-2.42424,0.0465299
4o-Mini,4o-Mini,-2.12121,0.0593625
4o-Mini,4o-Mini,-1.81818,0.0758311
4o-Mini,4o-Mini,-1.51515,0.0962018
4o-Mini,4o-Mini,-1.21212,0.12039
4o-Mini,4o-Mini,-0.90909,0.147708
4o-Mini,4o-Mini,-0.60606,0.176621
4o-Mini,4o-Mini,-0.303029,0.204638
4o-Mini,4o-Mini,8.9407e-007,0.228515
4o-Mini,4o-Mini,0.303031,0.244851
4o-Mini,4o-Mini,0.606062,0.251005
4o-Mini,4o-Mini,0.909092,0.245948
4o-Mini,4o-Mini,1.21212,0.230637
4o-Mini,4o-Mini,1.51515,0.207688
4o-Mini,4o-Mini,1.81818,0.180533
4o-Mini,4o-Mini,2.12121,0.152513
4o-Mini,4o-Mini,2.42424,0.12625
4o-Mini,4o-Mini,2.72727,0.103438
4o-Mini,4o-Mini,3.0303,0.0849437
4o-Mini,4o-Mini,3.33333,0.0710498
4o-Mini,4o-Mini,3.63636,0.0617218
4o-Mini,4o-Mini,3.93939,0.0568161
4o-Mini,4o-Mini,4.24243,0.0562185
4o-Mini,4o-Mini,4.54546,0.0599132
4o-Mini,4o-Mini,4.84849,0.0679909
4o-Mini,4o-Mini,5.15152,0.0805977
4o-Mini,4o-Mini,5.45455,0.0978161
4o-Mini,4o-Mini,5.75758,0.119476
4o-Mini,4o-Mini,6.06061,0.1449
4o-Mini,4o-Mini,6.36364,0.172646
4o-Mini,4o-Mini,6.66667,0.200341
4o-Mini,4o-Mini,6.9697,0.2248
4o-Mini,4o-Mini,7.27273,0.24253
4o-Mini,4o-Mini,7.57576,0.25059
4o-Mini,4o-Mini,7.87879,0.247495
4o-Mini,4o-Mini,8.18182,0.233724
4o-Mini,4o-Mini,8.48485,0.211537
4o-Mini,4o-Mini,8.78788,0.184213
4o-Mini,4o-Mini,9.09091,0.155108
4o-Mini,4o-Mini,9.39394,0.126943
4o-Mini,4o-Mini,9.69697,0.101502
4o-Mini,4o-Mini,10,0.0796591
4o-Mini,4o-Mini,10.303,0.0616076
4o-Mini,4o-Mini,10.6061,0.0471092
4o-Mini,4o-Mini,10.9091,0.0357115
4o-Mini,4o-Mini,11.2121,0.0268936
4o-Mini,4o-Mini,11.5152,0.0201528
4o-Mini,4o-Mini,11.8182,0.0150456
4o-Mini,4o-Mini,12.1212,0.0112014
4o-Mini,4o-Mini,12.4242,0.00832225
4o-Mini,4o-Mini,12.7273,0.00617364
4o-Mini,4o-Mini,13.0303,0.00457453
4o-Mini,4o-Mini,13.3333,0.00338675
4o-Mini,4o-Mini,13.6364,0.00250582
4o-Mini,4o-Mini,13.9394,0.00185317
4o-Mini,4o-Mini,14.2424,0.00137004
4o-Mini,4o-Mini,14.5455,0.0010126
4o-Mini,4o-Mini,14.8485,0.00074828
4o-Mini,4o-Mini,15.1515,0.000552878
4o-Mini,4o-Mini,15.4545,0.000408461
4o-Mini,4o-Mini,15.7576,0.000301744
4o-Mini,4o-Mini,16.0606,0.000222896
4o-Mini,4o-Mini,16.3636,0.000164645
4o-Mini,4o-Mini,16.6667,0.000121613
4o-Mini,4o-Mini,16.9697,8.98266e-005
4o-Mini,4o-Mini,17.2727,6.6347e-005
4o-Mini,4o-Mini,17.5758,4.90039e-005
4o-Mini,4o-Mini,17.8788,3.61941e-005
4o-Mini,4o-Mini,18.1818,2.67326e-005
4o-Mini,4o-Mini,18.4848,1.97444e-005
4o-Mini,4o-Mini,18.7879,1.45829e-005
4o-Mini,4o-Mini,19.0909,1.07707e-005
4o-Mini,4o-Mini,19.3939,7.95502e-006
4o-Mini,4o-Mini,19.697,5.8754e-006
4o-Mini,4o-Mini,20,4.33945e-006
4o-Mini,4o-Mini,20.303,3.20503e-006
4o-Mini,4o-Mini,20.6061,2.36716e-006
4o-Mini,4o-Mini,20.9091,1.74833e-006
4o-Mini,4o-Mini,21.2121,1.29128e-006
4o-Mini,4o-Mini,21.5152,9.53708e-007
4o-Mini,4o-Mini,21.8182,7.04387e-007
4o-Mini,4o-Mini,22.1212,5.20244e-007
4o-Mini,4o-Mini,22.4242,3.84241e-007
4o-Mini,4o-Mini,22.7273,2.83791e-007
4o-Mini,4o-Mini,23.0303,2.09602e-007
4o-Mini,4o-Mini,23.3333,1.54807e-007
4o-Mini,4o-Mini,23.6364,1.14337e-007
4o-Mini,4o-Mini,23.9394,8.44465e-008
4o-Mini,4o-Mini,24.2424,6.23702e-008
4o-Mini,4o-Mini,24.5455,4.60652e-008
4o-Mini,4o-Mini,24.8485,3.40227e-008
4o-Mini,4o-Mini,25.1515,2.51284e-008
4o-Mini,4o-Mini,25.4545,1.85592e-008
4o-Mini,4o-Mini,25.7576,1.37074e-008
4o-Mini,4o-Mini,26.0606,1.0124e-008
4o-Mini,4o-Mini,26.3636,7.47733e-009
4o-Mini,4o-Mini,26.6667,5.52258e-009
4o-Mini,4o-Mini,26.9697,4.07885e-009
4o-Mini,4o-Mini,27.2727,3.01254e-009
4o-Mini,4o-Mini,27.5758,2.22499e-009
4o-Mini,4o-Mini,27.8788,1.64333e-009
4o-Mini,4o-Mini,28.1818,1.21372e-009
4o-Mini,4o-Mini,28.4848,8.9643e-010
4o-Mini,4o-Mini,28.7879,6.62084e-010
4o-Mini,4o-Mini,29.0909,4.88997e-010
4o-Mini,4o-Mini,29.3939,3.6116e-010
4o-Mini,4o-Mini,29.697,2.66748e-010
4o-Mini,4o-Mini,30,1.97013e-010
GPT-4o,GPT-4o,-30,2.12302e-010
GPT-4o,GPT-4o,-29.697,2.87447e-010
GPT-4o,GPT-4o,-29.3939,3.89191e-010
GPT-4o,GPT-4o,-29.0909,5.26946e-010
GPT-4o,GPT-4o,-28.7879,7.13463e-010
GPT-4o,GPT-4o,-28.4848,9.65997e-010
GPT-4o,GPT-4o,-28.1818,1.30792e-009
GPT-4o,GPT-4o,-27.8788,1.77086e-009
GPT-4o,GPT-4o,-27.5758,2.39767e-009
GPT-4o,GPT-4o,-27.2727,3.24633e-009
GPT-4o,GPT-4o,-26.9697,4.3954e-009
GPT-4o,GPT-4o,-26.6667,5.95117e-009
GPT-4o,GPT-4o,-26.3636,8.05762e-009
GPT-4o,GPT-4o,-26.0606,1.09096e-008
GPT-4o,GPT-4o,-25.7576,1.47712e-008
GPT-4o,GPT-4o,-25.4545,1.99995e-008
GPT-4o,GPT-4o,-25.1515,2.70784e-008
GPT-4o,GPT-4o,-24.8485,3.66631e-008
GPT-4o,GPT-4o,-24.5455,4.96401e-008
GPT-4o,GPT-4o,-24.2424,6.72105e-008
GPT-4o,GPT-4o,-23.9394,9.1e-008
GPT-4o,GPT-4o,-23.6364,1.2321e-007
GPT-4o,GPT-4o,-23.3333,1.66821e-007
GPT-4o,GPT-4o,-23.0303,2.25868e-007
GPT-4o,GPT-4o,-22.7273,3.05815e-007
GPT-4o,GPT-4o,-22.4242,4.1406e-007
GPT-4o,GPT-4o,-22.1212,5.60618e-007
GPT-4o,GPT-4o,-21.8182,7.59052e-007
